title,description,link,pubDate,Word,Count
"South Korea 'passed the peak' of outbreak, health minister hopes ","South Korea's top public health official hopes that the country has already gone through the worst of the novel coronavirus outbreak that has infected thousands inside the country.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=tTV92yFbEiI:kEqLtRV1j1g:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=tTV92yFbEiI:kEqLtRV1j1g:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=tTV92yFbEiI:kEqLtRV1j1g:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=tTV92yFbEiI:kEqLtRV1j1g:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=tTV92yFbEiI:kEqLtRV1j1g:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=tTV92yFbEiI:kEqLtRV1j1g:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=tTV92yFbEiI:kEqLtRV1j1g:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/tTV92yFbEiI"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/tTV92yFbEiI/index.html,"Mon, 09 Mar 2020 14:46:53 GMT",coronavirus,6
Cases grow in the US and northern Italy goes into lockdown,"The number of cases of the novel coronavirus has risen to more than 108,000 globally, with at least 27,000 cases outside of China, as the economic trauma caused by the outbreak continues to impact global share markets.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=HCoM07qxA7E:vZO9uuziOW8:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=HCoM07qxA7E:vZO9uuziOW8:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=HCoM07qxA7E:vZO9uuziOW8:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=HCoM07qxA7E:vZO9uuziOW8:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=HCoM07qxA7E:vZO9uuziOW8:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=HCoM07qxA7E:vZO9uuziOW8:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=HCoM07qxA7E:vZO9uuziOW8:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/HCoM07qxA7E"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/HCoM07qxA7E/index.html,"Mon, 09 Mar 2020 10:41:56 GMT",Korea,6
"N Korea launches 3 projectiles, South says","North Korea fired at least one unidentified projectile Monday, according to South Korea's Joint Chiefs of Staff.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=Mk1dnHHtzfQ:lXdem-nowXE:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=Mk1dnHHtzfQ:lXdem-nowXE:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=Mk1dnHHtzfQ:lXdem-nowXE:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=Mk1dnHHtzfQ:lXdem-nowXE:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=Mk1dnHHtzfQ:lXdem-nowXE:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=Mk1dnHHtzfQ:lXdem-nowXE:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=Mk1dnHHtzfQ:lXdem-nowXE:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/Mk1dnHHtzfQ"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/Mk1dnHHtzfQ/index.html,"Mon, 09 Mar 2020 12:46:28 GMT",Fashion,5
The new food capital of the world,"How did Lima became one of the best culinary destinations on Earth? Gaston Acurio, arguably the chef that made it all happen in Peru, sits down over fried squid and a traditional ceviche to chew over this culinary success.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=iogzj-Xmesg:lymQB02x064:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=iogzj-Xmesg:lymQB02x064:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=iogzj-Xmesg:lymQB02x064:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=iogzj-Xmesg:lymQB02x064:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=iogzj-Xmesg:lymQB02x064:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=iogzj-Xmesg:lymQB02x064:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=iogzj-Xmesg:lymQB02x064:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/iogzj-Xmesg"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/iogzj-Xmesg/lima-new-capital-food-gastronomy-gaston-acurio-mitsuharu-tsumura-peru.cnn,"Mon, 09 Mar 2020 13:57:37 GMT",Fashion,5
Dubai unveils plans for electric sky pod network,"Travelers in Dubai could soon be enjoying more scenic routes with the addition of aerial vehicles to the public transport network.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=M34TbAIP7es:Wc1dTWmQZMs:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=M34TbAIP7es:Wc1dTWmQZMs:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=M34TbAIP7es:Wc1dTWmQZMs:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=M34TbAIP7es:Wc1dTWmQZMs:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=M34TbAIP7es:Wc1dTWmQZMs:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=M34TbAIP7es:Wc1dTWmQZMs:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=M34TbAIP7es:Wc1dTWmQZMs:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/M34TbAIP7es"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/M34TbAIP7es/index.html,"Mon, 09 Mar 2020 11:11:36 GMT",culinary,4
'It's crazy': Panic buying forces stores to limit purchases of toilet paper and masks,"Rationing supplies. Overwhelmed delivery workers. Toilet paper protected by security guards.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=1zqxYaVXioE:DyPbtqtcvyU:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=1zqxYaVXioE:DyPbtqtcvyU:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=1zqxYaVXioE:DyPbtqtcvyU:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=1zqxYaVXioE:DyPbtqtcvyU:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=1zqxYaVXioE:DyPbtqtcvyU:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=1zqxYaVXioE:DyPbtqtcvyU:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=1zqxYaVXioE:DyPbtqtcvyU:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/1zqxYaVXioE"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/1zqxYaVXioE/index.html,"Fri, 06 Mar 2020 11:13:51 GMT",health,4
Dirty money: The case against using cash right now,"The ongoing spread of coronavirus is forcing institutions around the world to rethink one particularly germy surface that most consumers touch every day: cash.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=5bx44WW2PCA:V2l8fcjO3J0:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=5bx44WW2PCA:V2l8fcjO3J0:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=5bx44WW2PCA:V2l8fcjO3J0:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=5bx44WW2PCA:V2l8fcjO3J0:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=5bx44WW2PCA:V2l8fcjO3J0:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=5bx44WW2PCA:V2l8fcjO3J0:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=5bx44WW2PCA:V2l8fcjO3J0:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/5bx44WW2PCA"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/5bx44WW2PCA/index.html,"Sat, 07 Mar 2020 14:34:04 GMT",outbreak,4
"Nintendo Playstation sold for $360,000 to original owner of Pets.com","One of last known copies of a video game console that never came to market, the Nintendo Play Station, sold for $360,000 at auction.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=fzw2xaAVvMw:ORb4JLZ4dNs:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=fzw2xaAVvMw:ORb4JLZ4dNs:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=fzw2xaAVvMw:ORb4JLZ4dNs:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=fzw2xaAVvMw:ORb4JLZ4dNs:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=fzw2xaAVvMw:ORb4JLZ4dNs:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=fzw2xaAVvMw:ORb4JLZ4dNs:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=fzw2xaAVvMw:ORb4JLZ4dNs:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/fzw2xaAVvMw"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/fzw2xaAVvMw/index.html,"Sat, 07 Mar 2020 19:58:26 GMT",,
Elon Musk's brother wants to transform farming,"Plant-based foods are all the rage right now, and vertical farms are capitalizing on the trend.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=3g0-behwUIA:HwWcIQhPlzo:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=3g0-behwUIA:HwWcIQhPlzo:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=3g0-behwUIA:HwWcIQhPlzo:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=3g0-behwUIA:HwWcIQhPlzo:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=3g0-behwUIA:HwWcIQhPlzo:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=3g0-behwUIA:HwWcIQhPlzo:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=3g0-behwUIA:HwWcIQhPlzo:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/3g0-behwUIA"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/3g0-behwUIA/index.html,"Fri, 28 Feb 2020 18:17:59 GMT",,
'Flying cellphone towers' are bringing internet to remote areas,"Tech giants including Google and Facebook have spent years trying to figure out how to bring the internet to billions of people who still lack a reliable connection. Now, an American startup has come up with its own plan.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=6hgFv43Flnk:cggatkWfPyI:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=6hgFv43Flnk:cggatkWfPyI:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=6hgFv43Flnk:cggatkWfPyI:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=6hgFv43Flnk:cggatkWfPyI:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=6hgFv43Flnk:cggatkWfPyI:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=6hgFv43Flnk:cggatkWfPyI:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=6hgFv43Flnk:cggatkWfPyI:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/6hgFv43Flnk"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/6hgFv43Flnk/index.html,"Wed, 19 Feb 2020 09:48:04 GMT",,
US cities are losing 36 million trees a year. Here's why it matters ,"If you're looking for a reason to care about tree loss, the nation's latest heat wave might be it.  Trees can lower summer daytime temperatures by as much as 10 degrees Fahrenheit, according to a recent study.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=KlnsnygiAw8:rKKNDkmW6Uw:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=KlnsnygiAw8:rKKNDkmW6Uw:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=KlnsnygiAw8:rKKNDkmW6Uw:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=KlnsnygiAw8:rKKNDkmW6Uw:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=KlnsnygiAw8:rKKNDkmW6Uw:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=KlnsnygiAw8:rKKNDkmW6Uw:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=KlnsnygiAw8:rKKNDkmW6Uw:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/KlnsnygiAw8"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/KlnsnygiAw8/index.html,"Wed, 18 Sep 2019 16:44:32 GMT",,
Miami's Little Haiti wasn't a target for developers. Until the seas started to rise,"<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=pbQjkbD_bFk:cxD8ILcewHg:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=pbQjkbD_bFk:cxD8ILcewHg:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=pbQjkbD_bFk:cxD8ILcewHg:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=pbQjkbD_bFk:cxD8ILcewHg:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=pbQjkbD_bFk:cxD8ILcewHg:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=pbQjkbD_bFk:cxD8ILcewHg:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=pbQjkbD_bFk:cxD8ILcewHg:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/pbQjkbD_bFk"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/pbQjkbD_bFk/index.html,"Fri, 12 Jul 2019 15:14:00 GMT",,
How rich people could help save the planet from the climate crisis,"Rich people don't just have bigger bank balances and more lavish lifestyles than the rest of us -- they also have bigger carbon footprints.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=Pa_SMoc1110:WRxCgHfOCwY:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=Pa_SMoc1110:WRxCgHfOCwY:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=Pa_SMoc1110:WRxCgHfOCwY:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=Pa_SMoc1110:WRxCgHfOCwY:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=Pa_SMoc1110:WRxCgHfOCwY:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=Pa_SMoc1110:WRxCgHfOCwY:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=Pa_SMoc1110:WRxCgHfOCwY:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/Pa_SMoc1110"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/Pa_SMoc1110/index.html,"Fri, 12 Jul 2019 09:20:40 GMT",,
"'Beauty is complicated,' says provocative photographer","Beauty is often thought of in relation to fashion and femininity. Its construct in pop culture is something that I've always tried to work with in different ways in relation to my work as a photographer. Beauty is complicated; it's an individual response to how we live our lives -- but it can also encompass kindness and compassion.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=e-l7qZ0glHQ:FXC9VHS-PK4:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=e-l7qZ0glHQ:FXC9VHS-PK4:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=e-l7qZ0glHQ:FXC9VHS-PK4:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=e-l7qZ0glHQ:FXC9VHS-PK4:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=e-l7qZ0glHQ:FXC9VHS-PK4:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_world?a=e-l7qZ0glHQ:FXC9VHS-PK4:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_world?i=e-l7qZ0glHQ:FXC9VHS-PK4:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_world/~4/e-l7qZ0glHQ"" height=""1"" width=""1"" alt=""""/>",http://rss.cnn.com/~r/rss/cnn_world/~3/e-l7qZ0glHQ/index.html,"Fri, 06 Mar 2020 16:46:42 GMT",,
